add-point|219d63d6-a7cf-4bf2-91b8-a185045de88d|22,11
create-shape|4e74bc4a-987f-4139-a900-a99c78dd7593|-36,-29;-45,13;6,-14;39,7;30,49
create-shape|bccaabae-1c15-430d-95c6-7675734bd7ef|37,47;-26,-27;-24,12;-32,37;-27,33
delete-point|7b6eaa73-534e-41ff-a21b-dacdb35785e9|3
delete-point|3d9cda03-bd32-4ae1-bb96-83e0e61bfa0a|4
delete-shape|94841052-c986-4d1a-9d8f-e79abb94c9cb
add-point|5311395a-fc65-4ea9-9fb3-db5215b70ad0|38,23
add-point|481ee03d-9fd3-4da8-ab80-6cde3d57a238|12,38
add-point|98caba37-ba20-427f-bf43-f6c757fd58d5|47,-23
delete-point|575136bc-79ba-4709-86af-16a13c4a6ee4|1
delete-shape|dd77d137-3037-437d-ac1b-99db0b98760b
delete-shape|b2c67e52-5d96-4078-a3d4-e18f02f67f95
delete-point|6c7ee967-5bd6-47ac-9496-4b676f12132a|3
update-point|4c66c5eb-ac46-4126-9b9d-ae12e77bdce0|2|-|10,-5
delete-shape|6a72378b-7d07-481f-b30a-12fc2a243f3c
add-point|a674092c-ab7d-4f31-9165-919e50472ef1|12,-43
update-point|eaf6dfc1-e3f3-4dd8-86fb-270eef6f9967|1|-|23,1
add-point|9e5348d0-7f20-465f-a138-c5e73f751cbb|26,-44
update-point|8bb69a27-8780-4f3f-9938-1cbc7b5a47cb|4|+|18,41
add-point|dc213f61-63ce-49fe-a06f-001d06d4ad42|-14,-23
add-point|637e2a14-9ec4-4df9-a87c-b3787c7c8476|50,-1
create-shape|7d8807c9-6994-4357-981c-a37ff0f85cd2|-4,-5;-20,-4;15,21;-28,46;-36,-3;49,31;-32,-15
update-point|9338b78f-fc1c-4057-bd39-792f97114cfc|3|+|-34,9
delete-point|a8bcbfc6-b35a-4ce7-b201-1cbcd642687e|3
delete-shape|8b7472ab-fc57-46e9-a46d-54918b2e72d4
delete-point|719284ec-0713-42f4-ba6e-69ebb976f7e0|1
update-point|55de4ef9-1958-4d73-90ed-c34768e1f4b7|3|-|-46,-19
update-point|bfd97cb9-607d-452d-bfd0-883543ce63e0|6|-|-48,-10
add-point|b12c4edf-7dba-4ec8-b1ea-26d38e284eea|-24,-46
create-shape|d7f4c0c6-a97b-4efb-9fd2-b45b13c8ea2e|-19,8;-1,-37;-20,2
add-point|7b91aa69-f554-4de4-9c7f-0c0f6ecce685|-10,12
create-shape|7c3776e4-6b1b-454e-8a73-a8bffb6942b5|24,-14;25,-46;42,0;-19,-15;48,-29;46,-46;-22,-6
delete-shape|a46c57df-3461-4399-a560-bca056e20b41
create-shape|2ee170aa-f372-4a22-a506-367c64968247|-14,28;-45,8;7,15;27,-27
add-point|1592b18a-28e1-474e-8068-409990323522|19,36
delete-shape|077b639d-dcc7-4b67-ad5c-9b103a21b4de
delete-point|79d42151-6532-4492-835f-f7a186513738|3
add-point|1f434390-d783-416e-8924-f1acf38bda7d|42,-33
add-point|c0cb2d35-1547-4298-99ad-44de74a67aaf|-6,36
delete-point|bc76f4e6-3089-4a51-87f6-9c2e2e001ee9|6
delete-point|7e479855-de5c-4c53-b333-6fc94d996c5c|2
update-point|3bc2fe2f-537b-4788-ada6-7c0558f8d8d2|2|+|-46,-14
delete-point|12869ae1-77d3-427d-81ea-5c22b00bf379|4
delete-shape|b56c1218-f120-4bd7-885c-e57c5b1e456c
delete-shape|e100fb55-2e06-41a6-b9b2-050f6a77aeb6
delete-point|bca1ae22-50ae-4e20-aa2d-07908638ff01|5
create-shape|4b56d577-7a6a-4f7f-9baa-df4d85bdb555|36,44;-12,-41;-16,17;29,-10;-21,25;-1,-36;28,-43
